date,securities_trader_id,securities_trader,stock_id,buy_volume,sell_volume,buy_amount,sell_amount,net_volume,net_amount
2026-07-20,111B,台企建成,030606,0,100000,0.0,285000.0,-100000,-285000.0
2026-07-20,111B,台企建成,069620,60000,0,214200.0,0.0,60000,214200.0
2026-07-20,111B,台企建成,071811,60000,0,142800.0,0.0,60000,142800.0
2026-07-20,111B,台企銀建成,700199,0,10000,0.0,8600.0,-10000,-8600.0
2026-07-20,538Y,第一中壢,03104T,11000,0,10010.0,0.0,11000,10010.0
2026-07-20,538Y,第一中壢,03229T,4000,0,10320.0,0.0,4000,10320.0
2026-07-20,538Y,第一中壢,03451T,6000,0,13240.0,0.0,6000,13240.0
2026-07-20,538Y,第一中壢,03474T,50000,50000,50150.0,50600.0,0,-450.0
2026-07-20,538Y,第一中壢,03645T,0,5000,0.0,6650.0,-5000,-6650.0
2026-07-20,538Y,第一中壢,043704,0,100000,0.0,7000.0,-100000,-7000.0
2026-07-20,538Y,第一中壢,044122,20000,0,6800.0,0.0,20000,6800.0
2026-07-20,538Y,第一中壢,051607,5000,0,7750.0,0.0,5000,7750.0
2026-07-20,538Y,第一中壢,053259,0,191000,0.0,43930.0,-191000,-43930.0
2026-07-20,538Y,第一中壢,053315,10000,0,1200.0,0.0,10000,1200.0
2026-07-20,538Y,第一中壢,054386,10000,0,5800.0,0.0,10000,5800.0
2026-07-20,538Y,第一中壢,057931,0,20000,0.0,3000.0,-20000,-3000.0
2026-07-20,538Y,第一中壢,060196,0,1000,0.0,920.0,-1000,-920.0
2026-07-20,538Y,第一中壢,061162,20000,0,10600.0,0.0,20000,10600.0
2026-07-20,538Y,第一中壢,061748,0,10000,0.0,1400.0,-10000,-1400.0
2026-07-20,538Y,第一中壢,061921,0,7000,0.0,1750.0,-7000,-1750.0
2026-07-20,538Y,第一中壢,063155,0,19000,0.0,19570.0,-19000,-19570.0
2026-07-20,538Y,第一中壢,063344,20000,0,9200.0,0.0,20000,9200.0
2026-07-20,538Y,第一中壢,063870,0,22000,0.0,19800.0,-22000,-19800.0
2026-07-20,538Y,第一中壢,065609,16000,0,9920.0,0.0,16000,9920.0
2026-07-20,538Y,第一中壢,066251,9000,0,7110.0,0.0,9000,7110.0
2026-07-20,538Y,第一中壢,067984,0,8000,0.0,5120.0,-8000,-5120.0
2026-07-20,538Y,第一中壢,068101,0,6000,0.0,6240.0,-6000,-6240.0
2026-07-20,538Y,第一中壢,069290,0,15000,0.0,5700.0,-15000,-5700.0
2026-07-20,538Y,第一中壢,069616,0,1000,0.0,600.0,-1000,-600.0
2026-07-20,538Y,第一中壢,069629,0,8000,0.0,4800.0,-8000,-4800.0
2026-07-20,538Y,第一中壢,069656,10000,0,9200.0,0.0,10000,9200.0
2026-07-20,538Y,第一中壢,073048,0,11000,0.0,6160.0,-11000,-6160.0
2026-07-20,538Y,第一中壢,073143,0,20000,0.0,14000.0,-20000,-14000.0
2026-07-20,538Y,第一中壢,073165,0,6000,0.0,9420.0,-6000,-9420.0
2026-07-20,538Y,第一中壢,073590,20000,0,15400.0,0.0,20000,15400.0
2026-07-20,538Y,第一中壢,074025,0,10000,0.0,11500.0,-10000,-11500.0
2026-07-20,538Y,第一中壢,074084,0,5000,0.0,7250.0,-5000,-7250.0
2026-07-20,538Y,第一中壢,074131,3000,0,4590.0,0.0,3000,4590.0
2026-07-20,538Y,第一金中壢,703267,0,23000,0.0,16100.0,-23000,-16100.0
2026-07-20,538Y,第一金中壢,704846,0,14000,0.0,6720.0,-14000,-6720.0
2026-07-20,538Y,第一金中壢,705042,10000,0,4300.0,0.0,10000,4300.0
2026-07-20,538Y,第一金中壢,707565,0,43000,0.0,30100.0,-43000,-30100.0
2026-07-20,538Y,第一金中壢,707878,5000,0,2750.0,0.0,5000,2750.0
2026-07-20,538Y,第一金中壢,708064,5000,0,7050.0,0.0,5000,7050.0
2026-07-20,538Y,第一金中壢,708451,0,1000,0.0,7700.0,-1000,-7700.0
2026-07-20,538Y,第一金中壢,708845,0,15000,0.0,10500.0,-15000,-10500.0
2026-07-20,538Y,第一金中壢,709030,0,10000,0.0,10100.0,-10000,-10100.0
2026-07-20,538Y,第一金中壢,709434,1000,0,370.0,0.0,1000,370.0
2026-07-20,538Y,第一金中壢,709574,0,100000,0.0,10000.0,-100000,-10000.0
2026-07-20,538Y,第一金中壢,709652,0,9000,0.0,12100.0,-9000,-12100.0
2026-07-20,538Y,第一金中壢,710086,0,8000,0.0,8560.0,-8000,-8560.0
2026-07-20,538Y,第一金中壢,710801,20000,0,9200.0,0.0,20000,9200.0
2026-07-20,538Y,第一金中壢,711052,0,8000,0.0,6400.0,-8000,-6400.0
2026-07-20,538Y,第一金中壢,711080,0,11000,0.0,9130.0,-11000,-9130.0
2026-07-20,538Y,第一金中壢,72847U,0,10000,0.0,4500.0,-10000,-4500.0
2026-07-20,538Y,第一金中壢,72851U,0,110000,0.0,31900.0,-110000,-31900.0
2026-07-20,538Y,第一金中壢,72941U,7000,0,10640.0,0.0,7000,10640.0
2026-07-20,538Y,第一金中壢,729714,0,49000,0.0,5880.0,-49000,-5880.0
2026-07-20,5853,統一中壢,03275T,70000,0,103400.0,0.0,70000,103400.0
2026-07-20,5853,統一中壢,037495,5000,0,10500.0,0.0,5000,10500.0
2026-07-20,5853,統一中壢,057592,5000,0,9820.0,0.0,5000,9820.0
2026-07-20,5853,統一中壢,058285,10000,10000,21900.0,22900.0,0,-1000.0
2026-07-20,5853,統一中壢,063817,0,20000,0.0,22800.0,-20000,-22800.0
2026-07-20,5853,統一中壢,066669,39000,0,25350.0,0.0,39000,25350.0
2026-07-20,5853,統一中壢,067269,6000,0,9660.0,0.0,6000,9660.0
2026-07-20,5853,統一中壢,067639,10000,0,13400.0,0.0,10000,13400.0
2026-07-20,5853,統一中壢,067714,10000,0,8800.0,0.0,10000,8800.0
2026-07-20,5853,統一中壢,069190,11000,0,20800.0,0.0,11000,20800.0
2026-07-20,5853,統一中壢,069678,50000,0,21500.0,0.0,50000,21500.0
2026-07-20,5853,統一中壢,070256,8000,0,4320.0,0.0,8000,4320.0
2026-07-20,5853,統一中壢,070290,0,150000,0.0,87000.0,-150000,-87000.0
2026-07-20,5853,統一中壢,072535,5000,0,2950.0,0.0,5000,2950.0
2026-07-20,5853,統一中壢,073165,15000,0,24600.0,0.0,15000,24600.0
2026-07-20,5853,統一中壢,08431U,0,20000,0.0,2600.0,-20000,-2600.0
2026-07-20,5853,統一中壢,08525U,0,5000,0.0,1800.0,-5000,-1800.0
2026-07-20,5853,統一中壢,703785,50000,0,134500.0,0.0,50000,134500.0
2026-07-20,5853,統一中壢,707299,3000,0,2970.0,0.0,3000,2970.0
2026-07-20,5853,統一中壢,707757,10000,0,6500.0,0.0,10000,6500.0
2026-07-20,5853,統一中壢,708179,0,50000,0.0,34000.0,-50000,-34000.0
2026-07-20,585Q,統一三多,03229T,0,2000,0.0,5120.0,-2000,-5120.0
2026-07-20,585Q,統一三多,03281T,0,1000,0.0,1230.0,-1000,-1230.0
2026-07-20,585Q,統一三多,03478T,0,40000,0.0,40000.0,-40000,-40000.0
2026-07-20,585Q,統一三多,03505T,0,60000,0.0,46800.0,-60000,-46800.0
2026-07-20,585Q,統一三多,03619T,0,4000,0.0,5440.0,-4000,-5440.0
2026-07-20,585Q,統一三多,036860,20000,0,6100.0,0.0,20000,6100.0
2026-07-20,585Q,統一三多,043938,55000,0,32840.0,0.0,55000,32840.0
