出表日期,交易日期,權證代號,權證名稱,成交金額,成交數量
"1150529","1150529","03410T","台灣50中信65售04","162400.00","124000"
"1150529","1150529","03398T","臺股指中信62售05","11000.00","10000"
"1150529","1150529","03411T","臺指2X中信65售03","0.00","0"
"1150529","1150529","03397T","緯穎中信65售02","100850.00","105000"
"1150529","1150529","03396T","臻鼎中信63售01","60860.00","70000"
"1150529","1150529","034074","聯發科中信58購02","34800.00","1000"
"1150529","1150529","03425T","臺股指中信63售10","44520.00","53000"
"1150529","1150529","03424T","京元電中信63售03","2180.00","2000"
"1150529","1150529","034811","京元電中信59購01","0.00","0"
"1150529","1150529","035214","神達中信59購01","61520.00","167000"
"1150529","1150529","035483","緯穎中信59購01","0.00","0"
"1150529","1150529","035477","滬深反中信57購01","0.00","0"
"1150529","1150529","035484","臺股指中信56購03","0.00","0"
"1150529","1150529","035480","創意中信59購01","212800.00","14000"
"1150529","1150529","035686","臺股指中信56購04","0.00","0"
"1150529","1150529","036139","緯穎中信59購03","0.00","0"
"1150529","1150529","036136","創意中信59購02","0.00","0"
"1150529","1150529","036131","金像電中信59購01","0.00","0"
"1150529","1150529","036133","京元電中信59購02","0.00","0"
"1150529","1150529","035897","玉晶光中信59購01","341790.00","287000"
"1150529","1150529","036135","宏達電中信57購01","0.00","0"
"1150529","1150529","035890","A50正2中信57購01","0.00","0"
"1150529","1150529","035891","元債2X中信59購01","0.00","0"
"1150529","1150529","036130","台達電中信59購01","0.00","0"
"1150529","1150529","045183","台光電中信59購01","0.00","0"
"1150529","1150529","045182","臺指反中信5B購01","2770.00","37000"
"1150529","1150529","045225","技嘉兆豐56購01","0.00","0"
"1150529","1150529","045318","智邦中信5B購01","0.00","0"
"1150529","1150529","045320","愛普中信5B購01","0.00","0"
"1150529","1150529","045465","T50反1中信5B購04","0.00","0"
"1150529","1150529","045464","T50正2中信5B購05","0.00","0"
"1150529","1150529","045643","亞翔中信5B購02","42420.00","17000"
"1150529","1150529","045644","精成科中信5B購01","0.00","0"
"1150529","1150529","045642","聯發科中信5B購02","0.00","0"
"1150529","1150529","045830","道瓊銀中信5B購01","64950.00","15000"
"1150529","1150529","045832","臺股指中信59購14","41000.00","1000"
"1150529","1150529","045831","奇鋐中信59購01","0.00","0"
"1150529","1150529","045829","台灣50中信5B購05","0.00","0"
"1150529","1150529","045965","金像電中信5B購05","0.00","0"
"1150529","1150529","045970","世芯中信5B購04","0.00","0"
"1150529","1150529","045962","元黃金中信5B購02","8100.00","10000"
"1150529","1150529","045971","精成科中信59購01","0.00","0"
"1150529","1150529","045964","臺指2X中信5B購02","0.00","0"
"1150529","1150529","045972","富世達中信59購01","10850.00","5000"
"1150529","1150529","045967","興勤中信58購01","148390.00","54000"
"1150529","1150529","046022","力成兆豐56購02","0.00","0"
"1150529","1150529","046021","台塑兆豐56購01","0.00","0"
"1150529","1150529","046193","台積電兆豐57購01","0.00","0"
"1150529","1150529","046192","台泥兆豐5B購01","10350.00","6000"
"1150529","1150529","046167","元黃金中信5B購03","0.00","0"
"1150529","1150529","046172","力積電中信58購01","12500.00","1000"
"1150529","1150529","046174","力積電中信5B購01","0.00","0"
"1150529","1150529","046168","金像電中信5B購06","0.00","0"
"1150529","1150529","046377","奇鋐中信57購03","0.00","0"
"1150529","1150529","046379","緯穎中信5B購02","35400.00","60000"
"1150529","1150529","046375","聯發科中信5B購03","0.00","0"
"1150529","1150529","046376","聯發科中信5B購04","0.00","0"
"1150529","1150529","046378","貿聯中信58購01","0.00","0"
"1150529","1150529","046581","聯發科中信5C購01","0.00","0"
"1150529","1150529","046627","一詮兆豐58購01","0.00","0"
"1150529","1150529","046626","可成兆豐58購01","371990.00","697000"
"1150529","1150529","046629","世芯兆豐58購01","0.00","0"
"1150529","1150529","046579","旺宏中信5A購01","0.00","0"
"1150529","1150529","046580","金像電中信5C購01","0.00","0"
"1150529","1150529","046582","欣興中信59購03","0.00","0"
"1150529","1150529","050502","矽力中信58購02","0.00","0"
"1150529","1150529","050489","金像電中信5C購05","0.00","0"
"1150529","1150529","050491","長榮太中信58購01","17980.00","31000"
"1150529","1150529","050494","健鼎中信58購01","0.00","0"
"1150529","1150529","050493","奇鋐中信58購02","0.00","0"
"1150529","1150529","050501","力成中信5A購01","0.00","0"
"1150529","1150529","050486","元金2X中信5C購01","5550.00","22000"
"1150529","1150529","050490","台光電中信56購03","0.00","0"
"1150529","1150529","050499","聯鈞中信5B購02","5970.00","3000"
"1150529","1150529","050503","緯穎中信5A購05","970.00","1000"
"1150529","1150529","050488","華新中信56購02","0.00","0"
"1150529","1150529","050487","道瓊銀中信5C購03","10080.00","9000"
"1150529","1150529","050496","創意中信5A購03","0.00","0"
"1150529","1150529","050497","創意中信5C購01","28000.00","7000"
"1150529","1150529","050498","創意中信5C購02","87450.00","24000"
"1150529","1150529","050495","創意中信59購03","0.00","0"
"1150529","1150529","050492","晶豪科中信56購03","316720.00","69000"
"1150529","1150529","050656","道瓊銀中信61購01","0.00","0"
"1150529","1150529","050662","群創中信59購01","0.00","0"
"1150529","1150529","050660","聯詠中信5A購01","0.00","0"
"1150529","1150529","050658","台玻中信59購01","30700.00","10000"
"1150529","1150529","050659","大立光中信61購01","73030.00","41000"
"1150529","1150529","050663","力成中信61購01","0.00","0"
"1150529","1150529","050882","道瓊銀中信59購01","4200.00","30000"
"1150529","1150529","05087U","臺股指中信56售02","0.00","0"
"1150529","1150529","050891","群創中信59購02","1466700.00","55000"
"1150529","1150529","050890","群創中信57購02","9833800.00","382000"
