出表日期,交易日期,權證代號,權證名稱,成交金額,成交數量
"1150529","1150529","734857","新應材元大56購01","305200.00","280000"
"1150529","1150529","734869","M31統一56購01","0.00","0"
"1150529","1150529","734871","金益鼎統一56購02","0.00","0"
"1150529","1150529","734872","前鼎統一56購01","92000.00","20000"
"1150529","1150529","734873","前鼎統一5C購01","32800.00","10000"
"1150529","1150529","734874","威剛統一5C購01","0.00","0"
"1150529","1150529","734886","鈊象元富56購02","0.00","0"
"1150529","1150529","734910","弘塑凱基56購01","95000.00","10000"
"1150529","1150529","735102","友華統一56購01","0.00","0"
"1150529","1150529","735103","兆利統一56購02","0.00","0"
"1150529","1150529","735104","均豪統一56購04","0.00","0"
"1150529","1150529","735105","宏碩統一56購03","0.00","0"
"1150529","1150529","735106","綠界*統一56購02","0.00","0"
"1150529","1150529","734926","欣銓元大56購01","0.00","0"
"1150529","1150529","735046","竹陞統一56購05","0.00","0"
"1150529","1150529","735047","均豪統一56購03","0.00","0"
"1150529","1150529","729170","M31統一59購01","139560.00","295000"
"1150529","1150529","729171","M31統一61購01","1360.00","4000"
"1150529","1150529","729172","M31統一61購02","148490.00","479000"
"1150529","1150529","729178","台特化統一57購01","6600.00","30000"
"1150529","1150529","729185","華星光統一59購03","0.00","0"
"1150529","1150529","729186","華星光統一61購01","43840.00","13000"
"1150529","1150529","729187","華星光統一61購02","3990.00","1000"
"1150529","1150529","729426","群ESG元大58購01","0.00","0"
"1150529","1150529","729313","旺矽統一59購01","0.00","0"
"1150529","1150529","729314","神盾統一57購02","0.00","0"
"1150529","1150529","739647","昇佳電統一5C購02","3190.00","11000"
"1150529","1150529","739710","中美晶群益57購02","43400.00","30000"
"1150529","1150529","72328U","環球晶群益59售01","0.00","0"
"1150529","1150529","739715","台半元富59購01","0.00","0"
"1150529","1150529","739716","台半元富59購02","36500.00","5000"
"1150529","1150529","739718","精測元富59購03","0.00","0"
"1150529","1150529","739720","德微元富57購01","0.00","0"
"1150529","1150529","739648","創惟統一5C購02","0.00","0"
"1150529","1150529","739649","新漢統一64購01","25300.00","110000"
"1150529","1150529","739650","萬泰科統一5C購02","6360.00","4000"
"1150529","1150529","739651","德微統一5C購02","2190.00","1000"
"1150529","1150529","739652","耀勝統一5C購02","0.00","0"
"1150529","1150529","739687","弘塑元富57購01","0.00","0"
"1150529","1150529","739688","弘塑元富57購02","0.00","0"
"1150529","1150529","739696","鈊象元富59購01","7600.00","10000"
"1150529","1150529","739747","臺慶科凱基57購01","0.00","0"
"1150529","1150529","739750","環球晶凱基59購01","0.00","0"
"1150529","1150529","739751","環球晶凱基59購02","24600.00","4000"
"1150529","1150529","739752","中光電元大57購01","0.00","0"
"1150529","1150529","730722","元太統一58購01","0.00","0"
"1150529","1150529","730732","威剛統一58購01","0.00","0"
"1150529","1150529","730733","原相統一5B購01","4860.00","53000"
"1150529","1150529","739365","中美晶國票57購01","35550.00","15000"
"1150529","1150529","739367","振曜國票56購02","0.00","0"
"1150529","1150529","739369","廣明國票56購01","0.00","0"
"1150529","1150529","739372","力旺統一5C購01","53380.00","52000"
